,ABEV3 BZ EQUITY,ELET6 BZ EQUITY,BPAC11 BZ EQUITY,CSMG3 BZ EQUITY,FLRY3 BZ EQUITY,CCRO3 BZ EQUITY,CSNA3 BZ EQUITY,AZUL4 BZ EQUITY,EMBR3 BZ EQUITY,GFSA3 BZ EQUITY,CESP6 BZ EQUITY,BRAP4 BZ EQUITY,B3SA3 BZ EQUITY,ENAT3 BZ EQUITY,CIEL3 BZ EQUITY,GGBR4 BZ EQUITY,BRDT3 BZ EQUITY,CVCB3 BZ EQUITY,ENBR3 BZ EQUITY,BRFS3 BZ EQUITY,GNDI3 BZ EQUITY,BBAS3 BZ EQUITY,CMIG3 BZ EQUITY,CYRE3 BZ EQUITY,BRKM5 BZ EQUITY,ENGI11 BZ EQUITY,BBDC3 BZ EQUITY,CMIG4 BZ EQUITY,DTEX3 BZ EQUITY,GOAU4 BZ EQUITY,EQTL3 BZ EQUITY,BRML3 BZ EQUITY,BBDC4 BZ EQUITY,ECOR3 BZ EQUITY,CPLE6 BZ EQUITY,GOLL4 BZ EQUITY,YDUQ3 BZ EQUITY,EGIE3 BZ EQUITY,BRSR6 BZ EQUITY,CRFB3 BZ EQUITY,BBSE3 BZ EQUITY,EZTC3 BZ EQUITY,HAPV3 BZ EQUITY,BEEF3 BZ EQUITY,BTOW3 BZ EQUITY,CSAN3 BZ EQUITY,ELET3 BZ EQUITY,HGTX3 BZ EQUITY,HYPE3 BZ EQUITY,LAME4 BZ EQUITY,MULT3 BZ EQUITY,SEER3 BZ EQUITY,QUAL3 BZ EQUITY,TIET11 BZ EQUITY,IGTA3 BZ EQUITY,LIGT3 BZ EQUITY,RADL3 BZ EQUITY,TIMP3 BZ EQUITY,SLCE3 BZ EQUITY,MYPK3 BZ EQUITY,IRBR3 BZ EQUITY,RAIL3 BZ EQUITY,LINX3 BZ EQUITY,SMLS3 BZ EQUITY,NTCO3 BZ EQUITY,TOTS3 BZ EQUITY,ITSA4 BZ EQUITY,LREN3 BZ EQUITY,SMTO3 BZ EQUITY,ODPV3 BZ EQUITY,TRPL4 BZ EQUITY,RAPT4 BZ EQUITY,ITUB4 BZ EQUITY,MDIA3 BZ EQUITY,PETR3 BZ EQUITY,SULA11 BZ EQUITY,TUPY3 BZ EQUITY,RENT3 BZ EQUITY,MGLU3 BZ EQUITY,JBSS3 BZ EQUITY,SUZB3 BZ EQUITY,PETR4 BZ EQUITY,UGPA3 BZ EQUITY,SANB11 BZ EQUITY,MRFG3 BZ EQUITY,TAEE11 BZ EQUITY,POMO4 BZ EQUITY,USIM5 BZ EQUITY,SAPR11 BZ EQUITY,MRVE3 BZ EQUITY,KLBN11 BZ EQUITY,TEND3 BZ EQUITY,VALE3 BZ EQUITY,COGN3 BZ EQUITY,VIVT4 BZ EQUITY,PSSA3 BZ EQUITY,SBSP3 BZ EQUITY,PTBL3 BZ EQUITY,VVAR3 BZ EQUITY,PRNR3 BZ EQUITY,BPAN4 BZ EQUITY,GUAR3 BZ EQUITY,LOGN3 BZ EQUITY,SAPR4 BZ EQUITY,WEGE3 BZ EQUITY,MTRE3 BZ EQUITY,MOVI3 BZ EQUITY,CNTO3 BZ EQUITY,ARZZ3 BZ EQUITY,STBP3 BZ EQUITY,OIBR3 BZ EQUITY,ABCB4 BZ EQUITY,NEOE3 BZ EQUITY,BKBR3 BZ EQUITY,LCAM3 BZ EQUITY,SHOW3 BZ EQUITY,OIBR4 BZ EQUITY,ALPA4 BZ EQUITY,ALSO3 BZ EQUITY,HBOR3 BZ EQUITY,BIDI4 BZ EQUITY,UNIP6 BZ EQUITY,OMGE3 BZ EQUITY,GRND3 BZ EQUITY,POMO3 BZ EQUITY,DIRR3 BZ EQUITY,VIVA3 BZ EQUITY,GBIO33 BZ EQUITY,PMAM3 BZ EQUITY,LEVE3 BZ EQUITY,VLID3 BZ EQUITY,TCSA3 BZ EQUITY,CEAB3 BZ EQUITY,PRIO3 BZ EQUITY,AALR3 BZ EQUITY,ENEV3 BZ EQUITY,VULC3 BZ EQUITY,CGAS5 BZ EQUITY,ANIM3 BZ EQUITY,ALUP11 BZ EQUITY,PARD3 BZ EQUITY,KLBN4 BZ EQUITY,WIZS3 BZ EQUITY,CPFE3 BZ EQUITY,CLSC4 BZ EQUITY,ENGI3 BZ EQUITY,LWSA3 BZ EQUITY,APER3 BZ EQUITY,CAML3 BZ EQUITY,JHSF3 BZ EQUITY,BEES3 BZ EQUITY,SOMA3 BZ EQUITY,WHRL4 BZ EQUITY,SQIA3 BZ EQUITY,BRPR3 BZ EQUITY,SHUL4 BZ EQUITY,JSLG3 BZ EQUITY,AMBP3 BZ EQUITY,RLOG3 BZ EQUITY,GOAU3 BZ EQUITY,LOGG3 BZ EQUITY,FESA4 BZ EQUITY,MEAL3 BZ EQUITY,LJQQ3 BZ EQUITY,DMMO3 BZ EQUITY,TECN3 BZ EQUITY,SCAR3 BZ EQUITY,AGRO3 BZ EQUITY,CCPR3 BZ EQUITY,AURA33 BZ EQUITY,TIET3 BZ EQUITY,COCE5 BZ EQUITY,TRIS3 BZ EQUITY,EVEN3 BZ EQUITY,ITSA3 BZ EQUITY,DMVF3 BZ EQUITY,GEPA4 BZ EQUITY,LLIS3 BZ EQUITY,BBRK3 BZ EQUITY,BIDI11 BZ EQUITY,PGMN3 BZ EQUITY,BSEV3 BZ EQUITY,TGMA3 BZ EQUITY,AMAR3 BZ EQUITY,MILS3 BZ EQUITY,JPSA3 BZ EQUITY,LAVV3 BZ EQUITY,OFSA3 BZ EQUITY,HBSA3 BZ EQUITY,BMGB4 BZ EQUITY,LPSB3 BZ EQUITY,TFCO4 BZ EQUITY,PETZ3 BZ EQUITY,VAMO3 BZ EQUITY,MELK3 BZ EQUITY,PCAR3 BZ EQUITY,BMOB3 BZ EQUITY,ENJU3 BZ EQUITY,ESPA3 BZ EQUITY,BOAS3 BZ EQUITY,WEST3 BZ EQUITY,MDNE3 BZ EQUITY,CURY3 BZ EQUITY,INTB3 BZ EQUITY,ELMD3 BZ EQUITY,RDOR3 BZ EQUITY,MOSI3 BZ EQUITY,PLPL3 BZ EQUITY,ORVR3 BZ EQUITY,RRRP3 BZ EQUITY,MBLY3 BZ EQUITY,SEQL3 BZ EQUITY,CMIN3 BZ EQUITY,JALL3 BZ EQUITY,CASH3 BZ EQUITY,GMAT3 BZ EQUITY,OPCT3 BZ EQUITY,POWE3 BZ EQUITY,ALPK3 BZ EQUITY,NGRD3 BZ EQUITY,HBRE3 BZ EQUITY,CSED3 BZ EQUITY,AERI3 BZ EQUITY
,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last,px_last
2020-01-02,18.617,35.228,74.638,18.458,29.414,18.292,14.674,58.8,20.2,8.774000000000001,29.728,36.473,42.393,15.121,8.423,20.374,29.475,42.069,21.348,35.88,71.414,50.687,14.263,29.291,30.4,52.3,31.26,12.702,16.65,9.45,23.246,18.22,33.091,16.3,6.589,37.17,45.885,50.049,20.932,23.622,33.249,52.365,13.2,12.207,64.96,70.215,34.962,33.66,34.394,26.5,32.921,27.779,38.852,14.664,53.972,23.9,22.811,15.673,24.982,22.672,36.239,26.4,37.346,36.939,38.327,22.857,13.511,56.948,23.427,16.351,20.59,14.047,36.119,38.775,32.469,58.3,25.35,49.247,12.306,26.585,40.79,30.699,24.704,47.268,10.06,27.847,4.404,9.611,32.454,21.552,18.74,30.982,49.902,12.2,54.218,61.284,58.57,5.263,11.73,,10.483,23.875,22.53,6.574,34.786,,19.307,37.43,63.364,8.234,0.86,19.489,23.831,17.289,22.587,6.24,1.24,32.53,50.01,23.0,15.618,33.756,39.3,12.014,4.174,14.658,29.071,9.93,28.58,28.992,16.774,19.5,18.1,35.78,18.844,10.965,9.0,134.784,9.867,27.808,27.047,3.586,13.14,33.289,48.428,12.945,,28.718,8.693999999999999,7.463,6.229,,8.838,24.6,14.472,10.091,,,23.47,8.929,31.729,18.762,8.87,,2.8120000000000003,3.45,47.037,18.637,24.064,,3.85,59.846,15.233,15.902,13.421,,46.948,16.84,6.02,45.655,,2.81,38.201,13.46,10.12,38.142,,43.309,,9.302,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,18.355,35.082,74.687,18.613,28.655,18.09,14.564,56.76,20.41,9.171,29.966,36.991,41.171,15.422,8.315,20.04,29.303,41.589,21.485,35.94,72.749,50.602,14.383,30.882,31.75,52.493,30.772,12.565,16.899,9.47,22.97,18.63,33.108,16.17,6.584,35.9,44.923,50.338,20.791,24.234,32.882,52.781,13.758,12.527,64.083,71.576,34.431,34.069,35.101,26.549,32.921,27.387,39.654,14.552,54.051,23.75,22.302,15.703,24.877,22.778,35.957,25.63,38.181,36.708,40.997,23.343,13.313,56.552,23.759,16.553,20.074,14.1354,35.739,39.219,31.667,60.658,26.39,48.533,12.196,26.849,40.65,30.449,24.415,47.268,10.28,27.856,4.375,9.511,31.701,21.552,19.369,31.021,49.534,12.15,54.701,59.717,57.564,5.215,11.48,,10.936,24.597,25.05,6.108,34.342,,19.82,37.97,62.462,8.403,0.86,19.921,23.492,16.99,23.405,6.05,1.24,32.53,51.42,24.1,15.896,32.325,40.57,12.141,4.106,14.649000000000001,28.892,9.89,28.0,28.244,16.548000000000002,19.5,18.0,37.85,18.844,11.068,8.83,136.523,9.983,27.614,27.716,3.686,13.14,33.081,47.46,12.896,,28.989,8.742,7.973,6.22,,8.692,24.48,15.359,10.287,,,23.38,8.850999999999999,30.689,18.875,8.6,,2.545,3.22,46.937,18.831,24.017,,3.738,60.325,15.866,15.814,13.45,,47.945,16.58,5.51,48.191,,2.89,39.109,13.95,10.06,38.58,,43.856,,9.225,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,18.442,35.137,73.806,18.221,29.502,17.627,14.204,55.0,20.38,8.945,29.463,37.164,40.776,15.219,8.109,19.991,27.835,41.231,21.319,35.57,69.749,49.933,14.318,30.6,33.4,52.647,30.596,12.739,16.784,9.421,23.0,18.5,32.516,16.08,6.595,34.25,45.787,49.915,20.753,23.178,33.424,53.029,13.334,12.518,63.685,71.155,34.596,33.115,34.299,26.243,32.862,27.016,41.28,14.887,53.962,23.8,21.863,15.683,24.656,22.672,35.621,24.9,36.44,35.507,40.127,22.81,13.285,56.502,24.501,16.428,20.192,13.9783,35.207,39.693,32.696,60.246,25.32,47.967,12.206,26.214,40.58,30.809,23.884,46.051,10.09,27.883,4.317,9.333,31.121,21.261,19.109,31.061,49.24,11.99,53.857,60.883,56.683,5.215,11.48,,11.187,24.576999999999998,24.6,6.118,34.431,,19.893,38.0,62.075,8.294,0.92,19.796,23.637,17.17,22.889,5.79,1.27,32.021,51.07,23.25,17.159,33.132,39.68,11.994,4.058,14.46,28.384,9.9,27.99,28.751,17.277,19.3,17.81,38.59,18.834,11.35,8.98,137.988,10.067,27.662,27.814,3.686,13.854,33.393,48.466,12.632,,28.381,8.562,8.013,6.229,,8.632,25.0,14.965,10.502,,,22.37,8.724,31.572,18.6,8.7,,2.447,3.13,46.917,18.841,24.213,,3.719,59.664,15.798,15.873,13.317,,49.132,16.34,5.62,51.125,,3.13,38.862,13.63,10.05,38.331,,43.905,,9.011,9.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,18.481,35.674,74.665,17.947,29.807,18.022,14.204,56.82,20.5,8.629,28.778,37.327,42.092,15.289,7.873,20.305,27.797,41.777,21.192,35.16,67.368,49.556,15.007,30.694,32.53,52.04,30.075,13.206,16.851,9.489,22.881,18.8,31.951,16.44,6.628,34.45,44.933,50.02,20.847,23.04,33.441,53.762,12.967,13.091,63.525,72.437,35.484,31.79,33.964,25.719,32.95,26.898,40.229,14.421,54.12,23.72,21.563,15.852,24.031,22.749,35.857,25.27,35.227,36.107,40.777,22.906,13.106,56.473,24.306,16.005,20.047,14.1354,34.39,38.331,32.251,59.442,25.65,48.433,12.171,26.683,41.1,30.689,24.415,45.77,10.4,27.649,4.375,9.422,31.781,21.358,19.139,32.035,49.599,12.08,53.971,60.845,55.716,5.293,11.65,,11.177,24.265,23.91,6.2620000000000005,34.697,,19.853,38.65,62.363,8.294,0.94,19.547,23.715,17.279,23.366,6.09,1.3,32.749,50.47,23.5,17.438,32.902,38.57,12.61,4.096,14.545,27.796,9.92,27.91,28.546,16.962,19.3,17.18,38.64,18.784,11.265,8.99,155.039,10.813,27.167,27.962,3.706,14.623,33.005,48.495,12.886,,29.41,8.373,8.081,6.229,,8.365,25.1,15.506,10.267,,,22.65,8.724,31.876,18.667,8.75,,2.516,3.25,47.157,18.783,24.036,,3.588,60.133,16.129,16.391,13.185,,47.763,16.29,5.7,53.214,,4.1,38.813,13.67,9.96,38.719,,44.005,,9.021,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,18.394,35.974,74.172,17.955,29.626,17.897,14.184,56.92,20.33,8.213,28.057,37.317,41.979,15.113,7.696,20.384,27.663,41.72,21.163,36.51,67.766,49.104,15.392,29.743,34.16,52.367,29.616,13.572,16.784,9.431,23.039,18.25,31.457,16.48,6.524,35.81,44.668,49.52,20.396,22.606,33.424,54.317,12.701,13.236,64.372,71.243,35.997,31.05,33.525,25.531,33.078,26.791,39.456,14.067,54.269,23.47,21.852,16.021,24.175,22.567,35.993,25.6,34.789,36.403,40.987,22.599,12.908,56.839,24.11,16.053,19.893,14.0176,33.83,38.667,31.726,59.236,25.65,48.195,12.545,27.338,43.15,30.499,24.222,45.345,10.66,27.091,4.258,9.303,31.788,20.989,19.199,31.789,49.608,12.0,53.725,60.195,54.894,5.584,11.6,,11.081,24.694,23.44,6.259,33.384,,19.953,38.65,61.47,8.154,0.92,19.489,24.056,17.17,23.464,6.1,1.33,33.109,52.0,23.0,17.289,34.092,39.6,12.571,4.077,14.63,27.846,9.92,27.9,28.585,16.558,18.8,16.27,37.85,18.814,11.213,8.99,154.037,10.923,27.138,28.709,3.7359999999999998,13.643,32.797,48.485,12.984,,28.896,8.43,7.954,6.325,,8.554,25.09,15.063,10.648,,,22.45,8.695,31.395,18.856,8.7,,2.417,3.18,49.393,18.589,24.148,,3.476,60.133,16.061,16.186,13.015,,49.152,16.3,5.55,51.772,,4.25,38.971,13.87,9.9,38.918,,44.104,,8.972,9.34,,,,,17.245,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,18.248,36.502,74.862,18.055,30.178,17.464,14.035,57.28,20.19,8.195,28.705,36.838,41.96,14.422,7.224,20.276,26.934,40.827,21.689,36.84,68.135,48.105,15.108,29.592,34.85,52.637,29.325,13.462,16.659,9.44,23.315,18.51,30.954,16.43,6.717,36.65,45.061,49.664,20.132,23.099,33.328,55.11,12.625,13.032,67.811,70.479,36.033,31.099,34.241,26.223,32.872,27.691,39.744,14.012,54.259,23.39,22.509,15.802,24.031,22.806,37.383,25.93,34.222,37.105,41.997,22.972,12.654,56.403,24.198,16.245,19.821,14.4301,33.155,38.972,31.904,60.723,26.05,48.453,12.992,27.67,43.04,30.399,24.27,44.629,10.91,27.235,4.336,9.244,31.788,20.834,19.419,31.936,48.956,12.1,53.658,60.396,55.735,5.594,11.66,,11.081,25.338,23.63,6.243,32.891,,20.23,38.9,60.776,8.164,0.9,19.489,23.998,17.08,23.814,6.0,1.29,33.908,52.38,23.25,17.169,33.795,39.79,12.141,4.028,14.649000000000001,28.294,9.91,27.66,28.186,17.07,18.0,15.71,36.4,19.737,11.375,8.98,170.351,10.81,26.934,28.699,3.726,13.506,33.393,48.989,13.179,,28.531,8.449,7.983,6.382,,8.614,24.24,15.063,10.697,,,22.55,8.695,31.317,18.496,8.49,,2.407,3.57,49.163,18.976,23.877,,3.383,61.081,15.973,16.147,12.826,,49.094,16.92,5.3,51.434,,3.87,38.931,14.31,10.18,39.018,,44.193,,9.001,9.6,,,,,18.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,18.316,36.993,74.852,18.167,29.645,17.493,14.194,57.5,20.11,8.277,28.988,36.723,41.631,14.803,7.273,20.551,27.04,39.556,22.089,36.34,68.544,46.975,15.282,29.799,34.45,53.428,28.813,13.663,16.899,9.645,23.592,18.64,30.389,16.37,6.902,37.24,45.257,50.405,19.69,23.336,32.932,55.507,12.356,12.974,66.555,71.527,36.72,31.245,34.423,26.174,32.528,27.397,40.289,14.244,54.21,23.44,21.812,16.22,23.858,22.644,37.402,25.67,34.182,37.17,42.887,22.8,12.568999999999999,56.582,24.413,16.053,19.984,14.273,32.861,39.337,31.776,60.162,26.3,47.491,12.922,27.524,43.11,30.269,24.212,44.251,10.75,27.316,4.307,9.056,31.862,20.63,19.499,32.625,49.011,12.2,54.312,61.093,55.532,5.632,11.7,,11.003,26.05,23.7,6.269,33.562,,20.181,39.15,60.34,8.224,0.89,19.47,23.793,17.359,23.804,6.12,1.27,33.658,52.49,23.35,17.706,33.804,39.63,12.112,4.019,14.961,28.842,9.93,27.17,29.063,16.902,18.7,16.18,37.22,20.778,11.42,9.11,205.106,10.577,27.41,28.817,3.806,13.405,34.026,48.457,12.945,,28.363,8.798,8.013,6.602,,8.597,24.15,15.063,10.648,,,22.54,8.783,31.287,18.828,8.18,,2.348,3.37,47.466,18.695,24.232,,3.495,61.282,16.119,16.137,12.77,,48.567,16.6,5.32,54.01,,3.6,39.543,14.29,10.85,39.765,,44.203,,9.021,9.8,,,,,18.018,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,18.626,37.121,75.286,18.276,29.502,17.618,15.053,58.3,20.46,8.521,28.714,38.267,41.678,15.387,7.303,21.434,27.605,39.142,22.089,36.7,69.719,47.502,15.603,30.364,34.0,53.293,29.166,14.047,17.015,10.153,23.582,19.04,30.716,16.65,7.118,38.0,46.817,51.358,19.906,23.129,32.687,55.656,12.424,14.139,68.937,73.358,36.812,32.014,35.531,26.703,32.872,28.062,41.577,14.505,55.784,23.38,22.322,16.23,23.714,22.787,37.72,25.95,35.187,37.502,43.727,23.022,12.739,57.81,24.628,16.197,20.255,14.1453,33.298,39.16,31.766,58.796,26.31,47.639,13.528,28.081,44.7,30.329,24.434,45.035,11.05,27.622,4.336,9.452,32.18,20.941,20.428,32.911,50.793,12.55,55.62,61.007,57.95,5.535,12.7,,11.273,26.723,23.9,6.369,33.878,,20.399,40.26,62.264,8.413,0.88,19.758,24.212,17.917,23.814,6.34,1.27,33.838,53.6,24.75,17.895,34.141,41.1,12.014,4.048,15.188,29.888,9.93,27.99,29.667,17.099,19.0,16.8,38.82,21.7,11.4,9.27,201.797,10.713,27.847,30.027,4.026,13.552,33.904,49.368,12.837,,28.372,8.789,8.248,6.611,,8.614,24.5,15.319,10.844,,,23.3,9.094,31.072,19.027,8.14,,2.17,3.41,49.603,19.218,24.204,,3.626,61.158,16.353,16.44,12.94,,48.644,16.56,5.5600000000000005,53.851,,3.9,39.454,14.37,10.67,40.392,,43.607,,9.467,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,18.52,36.538,73.984,18.447,29.94,18.205,14.814,59.19,20.37,8.783,29.107,38.631,41.96,15.396,7.362,21.022,27.615,39.989,22.089,36.55,70.676,47.248,15.787,30.6,34.27,53.158,29.228,14.194,16.996,9.909,24.135,19.22,30.68,17.36,7.141,37.99,47.799,52.071,19.85,23.099,33.076,56.924,12.446,14.033,68.12,75.698,36.171,32.433,36.123,27.573,33.362,29.285,42.578,14.608,55.606,22.96,22.656,16.299,23.637,22.768,37.465,25.8,36.301,37.77,44.257,23.022,12.88,57.077,25.399,16.582,20.219,14.3024,33.298,38.893,31.508,60.227,26.77,47.838,13.471,28.051,44.25,29.999,24.704,44.532,11.36,27.712,4.599,9.492,32.183,21.407,21.057,34.338,51.105,12.79,55.393,62.192,59.208,5.632,13.35,,11.081,27.132,25.7,6.32,34.549,,20.499,41.77,62.462,8.333,0.9,19.575,24.398,18.196,23.765,6.17,1.28,34.207,54.45,24.8,17.706,34.698,40.9,12.151,4.125,15.556000000000001,30.187,9.93,27.75,30.203,18.172,19.4,17.15,41.11,21.671,11.453,9.34,232.232,10.667,27.75,30.056,4.146,13.616,33.648,50.422,12.779,,28.784,8.77,8.455,6.602,,8.528,25.0,15.457,10.893,,,23.3,9.152,31.866,19.34,8.32,,2.042,3.36,50.91,19.673000000000002,23.821,,3.654,61.139,16.207,17.106,12.987,,48.606,16.79,5.5,53.512,,3.95,39.75,14.19,10.76,40.511,,44.005,,9.516,9.99,,,,,17.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
